"AB101TJ",10,393637,806033,"S92000003","","S08000006","","S12000033","S13002482"
"AB101TL",10,393666,805981,"S92000003","","S08000006","","S12000033","S13002482"
"AB101TN",10,393586,805945,"S92000003","","S08000006","","S12000033","S13002482"
"AB101TP",10,393551,805929,"S92000003","","S08000006","","S12000033","S13002482"
"AB101TQ",10,393477,805884,"S92000003","","S08000006","","S12000033","S13002482"
"AB101TR",10,393426,805858,"S92000003","","S08000006","","S12000033","S13002482"
"AB101TS",10,393350,805819,"S92000003","","S08000006","","S12000033","S13002482"
"AB101TT",10,393299,805804,"S92000003","","S08000006","","S12000033","S13002482"
"AB101TW",10,394406,802269,"S92000003","","S08000006","","S12000033","S13002488"
"AB101TX",10,393372,805866,"S92000003","","S08000006","","S12000033","S13002482"
"AB101TY",10,393242,806049,"S92000003","","S08000006","","S12000033","S13002482"
"AB101TZ",10,393245,806022,"S92000003","","S08000006","","S12000033","S13002482"
"AB101UA",10,393396,805871,"S92000003","","S08000006","","S12000033","S13002482"
"AB101UB",10,393328,805968,"S92000003","","S08000006","","S12000033","S13002482"
"AB101UD",10,393354,805966,"S92000003","","S08000006","","S12000033","S13002482"
"AB101UE",10,393290,806126,"S92000003","","S08000006","","S12000033","S13002482"
"AB101UF",10,392752,805916,"S92000003","","S08000006","","S12000033","S13002485"
"AB101UG",10,393281,805999,"S92000003","","S08000006","","S12000033","S13002482"
"AB101UH",10,393267,806112,"S92000003","","S08000006","","S12000033","S13002482"
"AB101UJ",10,393245,806022,"S92000003","","S08000006","","S12000033","S13002482"
"AB101UL",10,392473,805861,"S92000003","","S08000006","","S12000033","S13002485"
"AB101UN",10,392688,805891,"S92000003","","S08000006","","S12000033","S13002485"
"AB101UP",10,392635,805922,"S92000003","","S08000006","","S12000033","S13002485"
"AB101UQ",10,392770,805976,"S92000003","","S08000006","","S12000033","S13002485"
"AB101UR",10,392926,806031,"S92000003","","S08000006","","S12000033","S13002485"
"AB101US",10,392940,805974,"S92000003","","S08000006","","S12000033","S13002485"
"AB101UT",10,393050,806085,"S92000003","","S08000006","","S12000033","S13002482"
"AB101UU",10,393215,805948,"S92000003","","S08000006","","S12000033","S13002482"
"AB101UW",10,393251,805968,"S92000003","","S08000006","","S12000033","S13002482"
"AB101UX",10,393162,806042,"S92000003","","S08000006","","S12000033","S13002482"
"AB101UY",10,393310,805893,"S92000003","","S08000006","","S12000033","S13002482"
"AB101UZ",10,393298,805863,"S92000003","","S08000006","","S12000033","S13002482"
"AB101WB",10,393821,806076,"S92000003","","S08000006","","S12000033","S13002482"
"AB101WD",10,394204,806260,"S92000003","","S08000006","","S12000033","S13002483"
"AB101WE",10,393841,806145,"S92000003","","S08000006","","S12000033","S13002482"
"AB101WF",10,393692,806146,"S92000003","","S08000006","","S12000033","S13002482"
"AB101WG",10,394218,806655,"S92000003","","S08000006","","S12000033","S13002483"
"AB101WH",10,393789,806187,"S92000003","","S08000006","","S12000033","S13002482"
"AB101WP",10,394371,806359,"S92000003","","S08000006","","S12000033","S13002483"
"AB101WR",10,394233,806269,"S92000003","","S08000006","","S12000033","S13002483"
"AB101WS",10,394406,802269,"S92000003","","S08000006","","S12000033","S13002488"
"AB101WT",10,394406,802269,"S92000003","","S08000006","","S12000033","S13002488"
"AB101XA",10,393161,805976,"S92000003","","S08000006","","S12000033","S13002482"
"AB101XB",10,393242,805856,"S92000003","","S08000006","","S12000033","S13002482"
"AB101XD",10,393304,805918,"S92000003","","S08000006","","S12000033","S13002482"
"AB101XE",10,392987,805853,"S92000003","","S08000006","","S12000033","S13002485"
"AB101XF",10,392986,805884,"S92000003","","S08000006","","S12000033","S13002485"
"AB101XG",10,393149,805925,"S92000003","","S08000006","","S12000033","S13002482"
"AB101XH",10,393194,805879,"S92000003","","S08000006","","S12000033","S13002482"
"AB101XL",10,392815,805859,"S92000003","","S08000006","","S12000033","S13002485"
"AB101XN",10,393143,805854,"S92000003","","S08000006","","S12000033","S13002482"
"AB101XP",10,393064,805897,"S92000003","","S08000006","","S12000033","S13002485"
"AB101XU",10,393621,806234,"S92000003","","S08000006","","S12000033","S13002482"
"AB101XW",10,392975,805949,"S92000003","","S08000006","","S12000033","S13002485"
"AB101XY",10,392903,805917,"S92000003","","S08000006","","S12000033","S13002485"
"AB101XZ",10,393407,805936,"S92000003","","S08000006","","S12000033","S13002482"
"AB101YA",10,392729,805906,"S92000003","","S08000006","","S12000033","S13002485"
"AB101YB",10,393267,805765,"S92000003","","S08000006","","S12000033","S13002485"
"AB101YD",10,393266,805799,"S92000003","","S08000006","","S12000033","S13002482"
"AB101YE",10,393170,805747,"S92000003","","S08000006","","S12000033","S13002485"
"AB101YF",10,392604,805765,"S92000003","","S08000006","","S12000033","S13002485"
"AB101YH",10,393198,805813,"S92000003","","S08000006","","S12000033","S13002482"
"AB101YL",10,392739,805766,"S92000003","","S08000006","","S12000033","S13002485"
"AB101YN",10,392564,805767,"S92000003","","S08000006","","S12000033","S13002485"
"AB101YP",10,392643,805830,"S92000003","","S08000006","","S12000033","S13002485"
"AB101YR",10,394406,802269,"S92000003","","S08000006","","S12000033","S13002488"
"AB101YS",10,394276,806544,"S92000003","","S08000006","","S12000033","S13002483"
"AB101YT",10,392925,805756,"S92000003","","S08000006","","S12000033","S13002485"
"AB101ZA",10,394379,806428,"S92000003","","S08000006","","S12000033","S13002483"
"AB101ZG",10,394406,802269,"S92000003","","S08000006","","S12000033","S13002488"
"AB101ZP",10,393621,806234,"S92000003","","S08000006","","S12000033","S13002482"
"AB101ZT",10,394406,802269,"S92000003","","S08000006","","S12000033","S13002488"
"AB101ZU",10,394218,806655,"S92000003","","S08000006","","S12000033","S13002483"
"AB101ZX",10,394406,802269,"S92000003","","S08000006","","S12000033","S13002488"
"AB106AA",10,393191,804988,"S92000003","","S08000006","","S12000033","S13002487"
"AB106AB",10,393174,804880,"S92000003","","S08000006","","S12000033","S13002487"
"AB106AD",10,393152,804818,"S92000003","","S08000006","","S12000033","S13002487"
"AB106AE",10,393186,804808,"S92000003","","S08000006","","S12000033","S13002487"
"AB106AG",10,393293,805008,"S92000003","","S08000006","","S12000033","S13002487"
"AB106AH",10,393199,804869,"S92000003","","S08000006","","S12000033","S13002487"
"AB106AJ",10,393354,804847,"S92000003","","S08000006","","S12000033","S13002487"
"AB106AL",10,393320,804790,"S92000003","","S08000006","","S12000033","S13002487"
"AB106AN",10,393388,804759,"S92000003","","S08000006","","S12000033","S13002487"
"AB106AP",10,393363,804707,"S92000003","","S08000006","","S12000033","S13002487"
"AB106AQ",10,393160,804745,"S92000003","","S08000006","","S12000033","S13002487"
"AB106AR",10,393136,804704,"S92000003","","S08000006","","S12000033","S13002487"
"AB106AS",10,393096,804650,"S92000003","","S08000006","","S12000033","S13002487"
"AB106AT",10,393087,804528,"S92000003","","S08000006","","S12000033","S13002487"
"AB106AU",10,393130,804627,"S92000003","","S08000006","","S12000033","S13002487"
